level MATVEC(SIGMA) VECMAT(SIGMA) COMM(SIGMA) NORM(SIGMA) p d-max comm-max comp-max allgather-max allreduce-max reducescatter-max gram-max mm-max nnls-max
0 0.000000 0.000000 0.000000 0.000000 1 30.0645 0.221677 27.567 0.040666 0.00123773 0.179774 0.128741 18.9265 8.51176
1 0.078972 0.048493 0.002392 0.017559 1 14.2795 0.182178 12.8834 0.0191575 0.000815077 0.162205 0.0582518 8.61898 4.20616
1 0.093253 0.058142 0.002863 0.025508 1 16.9975 0.152491 15.5087 0.0239351 0.00126081 0.127295 0.0710459 10.3595 5.07817
2 0.058737 0.035496 0.001810 0.019532 1 10.9924 0.137495 9.97543 0.0188364 0.000648948 0.118009 0.0435967 6.4265 3.50533
2 0.035496 0.021395 0.001122 0.014403 1 6.9878 0.092345 6.20969 0.0138415 0.00112971 0.0773738 0.029163 3.98284 2.19769
3 0.013303 0.007778 0.000492 0.008041 1 3.11791 0.042181 2.68759 0.00545271 0.00108883 0.0356395 0.0141519 1.66914 1.0043
3 0.019473 0.011584 0.000668 0.017882 1 4.32824 0.0547995 3.81262 0.00652407 0.0011008 0.0471747 0.0183967 2.30352 1.49071
2 0.040330 0.024503 0.001254 0.024118 1 7.97955 0.0801499 7.21211 0.0147163 0.00119456 0.064239 0.0319399 4.4316 2.74857
2 0.038833 0.023398 0.001216 0.026071 1 7.48624 0.0961009 6.71056 0.0129758 0.000814168 0.082311 0.0298894 4.28225 2.39842
3 0.018637 0.011016 0.000531 0.012902 1 3.98397 0.0533701 3.47584 0.00693442 0.00108817 0.0453475 0.0178006 2.19655 1.26148
3 0.019008 0.011082 0.000651 0.012897 1 3.99339 0.0534142 3.48478 0.00642737 0.00108316 0.0459037 0.0178488 2.24099 1.22594
3 0.027811 0.016761 0.000913 0.018287 1 5.98845 0.0720038 5.44069 0.009111 0.000527007 0.0623658 0.0225092 3.16659 2.2516
3 0.029271 0.017352 0.000952 0.015346 1 5.98218 0.0778704 5.32965 0.0109739 0.00111141 0.0657851 0.0251585 3.31892 1.98557
4 0.003687 0.002113 0.000183 0.005879 1 1.96995 0.0158147 1.70288 0.00372098 0.00104711 0.0110466 0.00635535 0.472276 1.22425
4 0.008314 0.004977 0.000337 0.012370 1 2.539 0.0298599 2.20776 0.00441533 0.000950969 0.0244936 0.00998012 1.08696 1.11082
3 0.019518 0.011517 0.000665 0.013145 1 4.29334 0.0560026 3.75665 0.00794887 0.00109246 0.0469612 0.0181469 2.29047 1.44803
