level MATVEC(SIGMA) VECMAT(SIGMA) COMM(SIGMA) NORM(SIGMA) p d-max comm-max comp-max allgather-max allreduce-max reducescatter-max gram-max mm-max nnls-max
0 0.0 0.0 0.0 0.0 42.0 272.87 0.145459 272.671 0.0426569 0.012724 0.0902871 0.0363862 271.252 1.38486
1 1.3824450000000001 1.453262 0.00129 0.007732 84.0 252.873 0.218821 252.54899999999998 0.0619245 0.02445 0.13284400000000002 0.0559303 250.005 2.4921699999999998
2 1.339304 1.442065 0.002669 0.009873 168.0 239.8132 0.3939299 239.2058 0.1125862 0.0713494 0.2123953 0.0935799 233.95430000000002 5.162990000000001
3 1.069428 1.201062 0.002002 0.007818 336.0 210.60840000000002 0.7009278999999999 209.48950000000002 0.2053586 0.1426004 0.3603474 0.1644612 199.40389999999996 9.93266
4 0.9313900000000002 1.095762 0.00416 0.00753 672.0 199.9475 1.4631876 197.49887999999999 0.4009923000000001 0.4047153 0.6688954 0.3042947 177.87586 19.34491
5 0.9628899999999996 1.0891070000000003 0.012736 0.008593 1344.0 211.02680999999998 2.8875242999999995 206.04892 0.7954241999999999 0.7012338000000001 1.4140513000000001 0.5341866000000001 166.33607999999995 39.210596
6 1.0128129999999997 1.1092549999999999 0.024291999999999994 0.010164 2688.0 246.93927999999994 5.328864899999998 237.86783999999994 1.4923131 1.0899849000000004 2.7787707000000004 1.0362416000000003 161.03176000000002 75.86014200000001
0 0.0 0.0 0.0 0.0 420.0 25.8127 0.646324 25.0577 0.250201 0.279559 0.117051 0.0167025 24.0603 0.983623
1 0.14488 0.17429 0.006225 0.010399 840.0 27.662 1.151484 26.09 0.371674 0.49817 0.285922 0.0311414 24.0903 1.973826
2 0.152875 0.18066700000000002 0.009063 0.010978 1680.0 29.425060000000002 1.670583 27.03791 0.5095436 0.5327099 0.633267 0.0496437 23.13072 3.863721
3 0.14827 0.14667400000000003 0.009102 0.009887 3360.0 32.63253 2.8962069999999995 28.27737 0.8620157 0.8723921000000001 1.1692890000000002 0.09782100000000002 20.473130000000005 7.723652
4 0.147178 0.12029700000000002 0.013420999999999997 0.010336000000000001 6720.0 42.53514 5.002626 34.700680000000006 1.4150431999999997 1.5623430999999999 2.043003 0.19125269999999997 19.013324 15.527325000000003
5 0.148701 0.09036099999999998 0.024993000000000005 0.013441 13440.0 67.33365999999998 9.824571999999998 51.450019999999995 2.6216497999999997 2.8023717999999995 4.429606000000001 0.38138049999999996 20.245136000000002 30.927894
6 0.21209900000000004 0.06384999999999999 0.039207 0.021101 26880.0 115.38524000000001 17.161503999999997 87.62298000000001 4.9943227 4.4293385999999995 7.7940748 0.7316551699999997 25.528335000000002 61.504098
0 0.0 0.0 0.0 0.0 840.0 12.2507 0.692968 11.2345 0.220296 0.196221 0.284481 0.0520728 10.4118 0.778384
1 0.10191 0.096678 0.010673 0.011429 1680.0 13.685690000000001 1.093959 12.04495 0.373456 0.26486200000000004 0.465528 0.0989299 10.628609999999998 1.330536
2 0.098619 0.100636 0.01366 0.011813 3360.0 16.678530000000002 1.997242 13.61553 0.67923 0.5129509999999999 0.828907 0.1727807 10.761800000000001 2.7006189999999997
3 0.117888 0.077036 0.015684 0.010771 6720.0 20.81127 3.6115169999999996 15.322909999999998 1.2794809999999999 0.9383910000000001 1.420092 0.30298490000000006 9.773929999999998 5.270836
4 0.128528 0.058586 0.020447999999999997 0.012228999999999999 13440.0 31.65909 6.559425000000001 21.181730000000005 2.3183999999999996 1.6545405000000002 2.6365020000000006 0.5789043 10.562871000000001 10.110722
5 0.205416 0.03471300000000001 0.027129 0.016686999999999997 26880.0 56.11081 12.468246 35.763259000000005 4.4405529999999995 3.3526036 4.763514 1.2044179 14.441790999999997 20.264412
6 0.47005099999999994 0.043124000000000016 0.05435100000000001 0.025485 53760.0 103.61152000000001 25.120807 62.92588800000001 9.088156000000003 7.015682499999999 9.214364999999995 2.4554842999999997 20.133564000000003 40.577589999999994
0 0.0 0.0 0.0 0.0 1260.0 8.2508 0.700901 7.30313 0.26025 0.0816923 0.362415 0.0295656 6.72011 0.554918
1 0.079596 0.076169 0.012702 0.011783 2520.0 10.2146 1.280754 8.21018 0.46523400000000004 0.2121618 0.611364 0.0758688 7.1322 1.011107
2 0.11610599999999999 0.071686 0.012284999999999999 0.013021999999999999 5040.0 13.11918 2.1497789999999997 9.72065 0.8896639999999999 0.3664638 0.913695 0.1303866 7.54086 2.072295
3 0.12473400000000001 0.053912999999999996 0.015256 0.010949999999999998 10080.0 17.27773 3.5584260000000003 11.615870000000001 1.5107699999999997 0.5984477 1.467716 0.22504600000000002 7.506345999999999 3.917979
4 0.16759999999999997 0.03599499999999999 0.020266 0.012224 20160.0 26.036680000000004 6.448931 15.959240000000001 2.9067650000000005 1.0140495 2.5690169999999997 0.4389457 8.21527 7.35097
5 0.338755 0.03596799999999999 0.030387999999999995 0.016578000000000002 40320.0 44.862860000000005 12.301808999999999 25.637535999999997 5.7950040000000005 1.9577731999999999 4.615041 0.8647517999999997 10.598004 14.263959
