level p d-max comm-max comp-max allgather-max allreduce-max reducescatter-max gram-max mm-max nnls-max
0 42.0 348.596 0.174542 348.37 0.047659 0.0156428 0.112121 0.0359811 347.21 1.12465
1 84.0 336.437 0.240157 336.08000000000004 0.07188510000000001 0.040135199999999996 0.13262459999999998 0.0549997 333.802 2.23021
2 168.0 333.4653 0.4160236 332.8269 0.11445549999999999 0.0993282 0.2061268 0.0785366 328.5655 4.188505
3 336.0 297.56989999999996 0.7525298 296.4112 0.1937274 0.23069599999999998 0.3364448 0.14300459999999998 288.3801 7.894368999999999
0 168.0 220.756 0.404201 220.224 0.131041 0.0826421 0.192655 0.0273296 218.907 1.29158
1 336.0 221.07 0.723068 220.10399999999998 0.20349620000000002 0.210017 0.313265 0.049051800000000007 217.562 2.49808
2 672.0 223.0817 1.297046 221.271 0.331365 0.420058 0.552507 0.087241 216.43169999999998 4.76823
3 1344.0 211.7208 2.5450169999999996 208.0751 0.5983103 1.0517029999999998 0.9054979 0.1581695 198.5023 9.43864
0 336.0 221.118 0.426622 220.552 0.154921 0.054767 0.218834 0.0258632 219.202 1.32764
1 672.0 221.375 0.743119 220.348 0.247577 0.1306378 0.370259 0.0477676 217.654 2.6532400000000003
2 1344.0 224.3191 1.211325 222.47089999999997 0.36986420000000003 0.2737253 0.575099 0.09126690000000001 217.1845 5.20719
3 2688.0 214.20950000000002 2.091447 210.86990000000003 0.6351910000000001 0.5625977 0.91242 0.1735803 200.22269999999997 10.51262
0 504.0 346.258 0.502552 345.572 0.21148 0.0666304 0.230205 0.0409807 344.169 1.36598
1 1008.0 337.772 0.772001 336.671 0.314578 0.1024423 0.36572499999999997 0.0700093 333.887 2.72102
2 2016.0 339.6879 1.310459 337.6507 0.571719 0.21191590000000002 0.558955 0.1299282 332.1758 5.3653699999999995
3 4032.0 312.7367 2.257137 309.11929999999995 0.984375 0.4241901 0.901611 0.2495618 298.1209 10.80339
0 672.0 246.24 0.590708 245.44 0.234436 0.159166 0.202261 0.0467094 244.066 1.3332
1 1344.0 245.272 1.088262 243.63400000000001 0.383684 0.374332 0.344255 0.08152229999999999 240.858 2.70802
2 2688.0 248.06889999999999 1.799422 245.36410000000004 0.6684460000000001 0.611241 0.5424549999999999 0.1327509 239.89049999999997 5.36977
3 5376.0 238.89630000000002 3.3992550000000006 233.7512 1.266184 1.240272 0.934449 0.2885348 222.9774 10.53834
0 840.0 351.287 0.581554 350.379 0.262464 0.0914586 0.237331 0.0514998 348.94 1.3933
1 1680.0 337.663 1.0707149999999999 335.99199999999996 0.472858 0.2009336 0.413346 0.0943672 333.161 2.7512600000000003
2 3360.0 340.556 1.771852 337.69050000000004 0.826106 0.3345687 0.6517999999999999 0.1703839 332.1156 5.43901
3 6720.0 313.8441 3.2525399999999998 308.2795 1.5288650000000001 0.6752694 1.111483 0.32614930000000003 297.0887 10.926010000000002
